keywords,answer_en,answer_ta,answer_hi,answer_ka,answer_ma,answer_te
"potato pests,potato late blight,potato disease control","Late blight is major: use certified seed, apply recommended fungicides at early signs, and remove infected plants. Maintain field drainage to reduce disease risk.",விலையீட்டுப் பூச்சி (late blight) பெரியது: சான்று விதைகள் மற்றும் நோய் ஆரம்பத்தில் பரிந்துரைக்கப்பட்ட பூச்சி மருந்துகளைப் பயன்படுத்தவும்.,लेट ब्लाइट गंभीर रोग है: प्रमाणित बीज और शुरुआती लक्षणों पर कवकनाशी लगाएँ।,"ತಡವಾದ ರೋಗವು ಪ್ರಮುಖವಾಗಿದೆ: ಪ್ರಮಾಣೀಕೃತ ಬೀಜಗಳನ್ನು ಬಳಸಿ, ಆರಂಭಿಕ ಚಿಹ್ನೆಗಳಲ್ಲಿ ಶಿಫಾರಸು ಮಾಡಿದ ಶಿಲೀಂಧ್ರನಾಶಕಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಸೋಂಕಿತ ಸಸ್ಯಗಳನ್ನು ತೆಗೆದುಹಾಕಿ. ರೋಗದ ಅಪಾಯವನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಹೊಲದಲ್ಲಿ ಒಳಚರಂಡಿಯನ್ನು ನಿರ್ವಹಿಸಿ.","വൈകിയുള്ള വാട്ടം പ്രധാനമാണ്: സാക്ഷ്യപ്പെടുത്തിയ വിത്തുകൾ ഉപയോഗിക്കുക, പ്രാരംഭ ലക്ഷണങ്ങളിൽ ശുപാർശ ചെയ്യുന്ന കുമിൾനാശിനികൾ പ്രയോഗിക്കുക, ബാധിച്ച സസ്യങ്ങൾ നീക്കം ചെയ്യുക. രോഗ സാധ്യത കുറയ്ക്കുന്നതിന് കൃഷിയിടത്തിലെ നീർവാർച്ച നിലനിർത്തുക.","లేట్ బ్లైట్ ప్రధానమైనది: ధృవీకరించబడిన విత్తనాలను వాడండి, ప్రారంభ లక్షణాల వద్ద సిఫార్సు చేసిన శిలీంద్రనాశకాలను వేయండి మరియు సోకిన మొక్కలను తొలగించండి. వ్యాధి ప్రమాదాన్ని తగ్గించడానికి పొలంలో మురుగునీటిని నిర్వహించండి."
"onion planting,when to plant onion,onion sowing season",Onion prefers cool season with well-drained soils. Use transplants or direct seed depending on variety; ensure adequate nitrogen early and potassium towards bulb formation.,வெள்ளரிக்காய் (இஞ்சி) குளிர் பருவத்தில் மற்றும் நல்ல வடிகால் கொண்ட மண்ணை விரும்பும். வகைப் பொருத்தமாக மாற்று விதை அல்லது நேரடி விதை பயன்படுத்தவும்.,प्याज़ ठंडे मौसम में अच्छी होती है; किस्म के अनुसार प्रत्यारोपण या सीधा बुवाई करें। नाइट्रोजन पहले और पोटाशियम बल्ब बनने के समय दें।,ಈರುಳ್ಳಿಗೆ ತಂಪಾದ ಋತುವಿನ ಜೊತೆಗೆ ನೀರು ಬಸಿದು ಹೋಗುವ ಮಣ್ಣು ಬೇಕಾಗುತ್ತದೆ. ವೈವಿಧ್ಯತೆಯನ್ನು ಅವಲಂಬಿಸಿ ಕಸಿ ಮಾಡಿ ಅಥವಾ ನೇರವಾಗಿ ಬೀಜ ಹಾಕಿ; ಬಲ್ಬ್ ರಚನೆಯ ಸಮಯದಲ್ಲಿ ಸಾಕಷ್ಟು ಸಾರಜನಕ ಮತ್ತು ಪೊಟ್ಯಾಸಿಯಮ್ ಅನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.,നല്ല നീർവാർച്ചയുള്ള മണ്ണുള്ള തണുത്ത സീസണാണ് ഉള്ളി ഇഷ്ടപ്പെടുന്നത്. വൈവിധ്യത്തെ ആശ്രയിച്ച് പറിച്ചുനടുകയോ നേരിട്ട് വിത്ത് നടുകയോ ചെയ്യുക; നേരത്തെ തന്നെ ആവശ്യത്തിന് നൈട്രജനും ബൾബ് രൂപപ്പെടുന്നതിന് പൊട്ടാസ്യവും ഉറപ്പാക്കുക.,ఉల్లిపాయలు చల్లని సీజన్‌లో నీరు బాగా పడే నేలలను ఇష్టపడతాయి. రకాన్ని బట్టి నాట్లు వేయండి లేదా నేరుగా విత్తనం వేయండి; గడ్డ ఏర్పడటానికి ముందుగానే తగినంత నత్రజని మరియు పొటాషియం ఉండేలా చూసుకోండి.
"onion pests,onion thrips,onion disease","Onion thrips and fungal rots cause yield loss. Use tolerant varieties, avoid excessive irrigation, and apply recommended insecticides when threshold crossed.",வெள்ளரிக் கீறுபவர்கள் மற்றும் பூச்சிய நோய்கள் உற்பத்தி குறைவு செய்யும். சகிப்புத் திறன் உடைய வகைகள் உபயோகிக்கவும்.,प्याज़ में थ्रिप्स और फफूंदीय रोग होते हैं। सहनशील किस्में और नियंत्रित सिंचाई अपनाएँ।,"ಈರುಳ್ಳಿ ಥ್ರಿಪ್ಸ್ ಮತ್ತು ಶಿಲೀಂಧ್ರ ಕೊಳೆತವು ಇಳುವರಿ ನಷ್ಟಕ್ಕೆ ಕಾರಣವಾಗುತ್ತದೆ. ಸಹಿಷ್ಣು ಪ್ರಭೇದಗಳನ್ನು ಬಳಸಿ, ಅತಿಯಾದ ನೀರಾವರಿಯನ್ನು ತಪ್ಪಿಸಿ ಮತ್ತು ಮಿತಿ ಮೀರಿದಾಗ ಶಿಫಾರಸು ಮಾಡಿದ ಕೀಟನಾಶಕಗಳನ್ನು ಬಳಸಿ.","ഉള്ളി ഇലപ്പേനുകളും ഫംഗസ് അഴുകലും വിളവ് നഷ്ടത്തിന് കാരണമാകുന്നു. സഹിഷ്ണുതയുള്ള ഇനങ്ങൾ ഉപയോഗിക്കുക, അമിതമായ ജലസേചനം ഒഴിവാക്കുക, പരിധി കടക്കുമ്പോൾ ശുപാർശ ചെയ്യുന്ന കീടനാശിനികൾ പ്രയോഗിക്കുക.","ఉల్లిపాయ త్రిప్స్ మరియు శిలీంధ్ర తెగులు దిగుబడి నష్టానికి కారణమవుతాయి. తట్టుకునే రకాలను వాడండి, అధిక నీటిపారుదలని నివారించండి మరియు పరిమితి దాటినప్పుడు సిఫార్సు చేసిన పురుగుమందులను వాడండి."
"chilli planting,when to plant chili,chili sowing time",Sow chilli seedlings in warm season; transplant after 6–8 weeks. Ensure nutrient-rich soil and balanced NPK; harvest after color change depending on variety.,மிளகாய் விதைகள் வெப்ப காலத்தில் விதைக்கவும்; 6–8 வாரங்களுக்கு பிறகு மாற்று நட்டு. சமநிலை NPK வழங்கவும்.,मिर्च गर्म मौसम में बोएँ; 6–8 सप्ताह बाद प्रत्यारोपित करें और संतुलित NPK दें।,ಬೆಚ್ಚಗಿನ ಋತುವಿನಲ್ಲಿ ಮೆಣಸಿನಕಾಯಿ ಸಸಿಗಳನ್ನು ಬಿತ್ತಿ; 6–8 ವಾರಗಳ ನಂತರ ನಾಟಿ ಮಾಡಿ. ಪೋಷಕಾಂಶ-ಸಮೃದ್ಧ ಮಣ್ಣು ಮತ್ತು ಸಮತೋಲಿತ NPK ಅನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ; ವೈವಿಧ್ಯತೆಯನ್ನು ಅವಲಂಬಿಸಿ ಬಣ್ಣ ಬದಲಾದ ನಂತರ ಕೊಯ್ಲು ಮಾಡಿ.,ചൂടുള്ള സീസണിൽ മുളക് തൈകൾ വിതയ്ക്കുക; 6–8 ആഴ്ചകൾക്ക് ശേഷം പറിച്ചു നടുക. പോഷകസമൃദ്ധമായ മണ്ണും സന്തുലിതമായ എൻ‌പി‌കെയും ഉറപ്പാക്കുക; വൈവിധ്യത്തെ ആശ്രയിച്ച് നിറം മാറിയതിനുശേഷം വിളവെടുക്കുക.,వెచ్చని కాలంలో మిరప మొలకలను విత్తండి; 6–8 వారాల తర్వాత నాటండి. పోషకాలు అధికంగా ఉండే నేల మరియు సమతుల్య NPK ని నిర్ధారించుకోండి; రకాన్ని బట్టి రంగు మారిన తర్వాత పంట కోయండి.
"chilli pests,chili disease management,chilli viral disease","Chilli suffers from viral, bacterial and thrips problems. Rogue infected plants, use virus-free seedlings, and practice crop rotation and reflective mulches to reduce aphids/thrips.","மிளகாய் வைரஸ், பேக்டீரியா மற்றும் த்ரிப்ஸ் பாதிப்பு கூடும். பாதிக்கப்பட்ட செடிகளை அகற்றி, வைரஸ் இலையியல் விதைகள் பயன்படுத்தவும்.","मिर्च में वायरस, बैक्टीरिया और थ्रिप्स की समस्या होती है। संक्रमित पौधों को हटाएँ और वायरस-रहित पौधे उपयोग करें।","ಮೆಣಸಿನಕಾಯಿಯು ವೈರಲ್, ಬ್ಯಾಕ್ಟೀರಿಯಾ ಮತ್ತು ಥ್ರೈಪ್ಸ್ ಸಮಸ್ಯೆಗಳಿಂದ ಬಳಲುತ್ತಿದೆ. ರೋಗಪೀಡಿತ ಸಸ್ಯಗಳನ್ನು ನೆಡಬೇಕು, ವೈರಸ್-ಮುಕ್ತ ಸಸಿಗಳನ್ನು ಬಳಸಬೇಕು ಮತ್ತು ಗಿಡಹೇನುಗಳು/ಥ್ರೈಪ್ಸ್ ಅನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಬೆಳೆ ಸರದಿ ಮತ್ತು ಪ್ರತಿಫಲಿತ ಮಲ್ಚ್‌ಗಳನ್ನು ಅಭ್ಯಾಸ ಮಾಡಬೇಕು.","മുളകിൽ വൈറൽ, ബാക്ടീരിയ, ഇലപ്പേനുകൾ തുടങ്ങിയ പ്രശ്‌നങ്ങൾ കാണപ്പെടുന്നു. രോഗം ബാധിച്ച ചെടികൾ നടുക, വൈറസ് രഹിത തൈകൾ ഉപയോഗിക്കുക, മുഞ്ഞ/ ഇലപ്പേനുകൾ കുറയ്ക്കുന്നതിന് വിള ഭ്രമണവും പ്രതിഫലന പുതയിടലും നടത്തുക.","మిరపకాయ వైరల్, బాక్టీరియల్ మరియు త్రిప్స్ సమస్యలతో బాధపడుతోంది. తెగులు సోకిన మొక్కలను నాటండి, వైరస్ లేని మొలకలను వాడండి మరియు అఫిడ్స్/త్రిప్స్‌ను తగ్గించడానికి పంట భ్రమణాన్ని మరియు ప్రతిబింబించే మల్చ్‌లను పాటించండి."
"mango flowering,mango flowering season,when does mango flower",Mango typically flowers in late winter to early spring depending on variety and climate. Manage irrigation and nutrition before flowering to encourage heavy bloom and fruit set.,மாம்பழம் பருவம் மற்றும் வகையைப் பொருத்து குளிர்காலம் முடிவில் அல்லது ஒன்காலத்தில் மலர்கிறது. மலர்ப்புக்கு முன் சாக்பதி மற்றும் நீர் மேலாண்மையை கவனியுங்கள்.,आम आमतौर पर देर सर्दी से बसंत के आरम्भ में खिलता है; फूल आने से पहले सिंचाई और पोषण प्रबंधन आवश्यक है।,"ಮಾವು ಸಾಮಾನ್ಯವಾಗಿ ಚಳಿಗಾಲದ ಅಂತ್ಯದಿಂದ ವಸಂತಕಾಲದ ಆರಂಭದಲ್ಲಿ ಹೂವು ಬಿಡುತ್ತದೆ, ಇದು ವೈವಿಧ್ಯತೆ ಮತ್ತು ಹವಾಮಾನವನ್ನು ಅವಲಂಬಿಸಿರುತ್ತದೆ. ಹೇರಳವಾಗಿ ಹೂವು ಬಿಡಲು ಮತ್ತು ಹಣ್ಣು ಬಿಡಲು ಪ್ರೋತ್ಸಾಹಿಸಲು ಹೂಬಿಡುವ ಮೊದಲು ನೀರಾವರಿ ಮತ್ತು ಪೋಷಣೆಯನ್ನು ನಿರ್ವಹಿಸಿ.",വൈവിധ്യത്തെയും കാലാവസ്ഥയെയും ആശ്രയിച്ച് ശൈത്യകാലത്തിന്റെ അവസാനം മുതൽ വസന്തത്തിന്റെ തുടക്കത്തിൽ വരെ മാമ്പഴം സാധാരണയായി പൂക്കും. ധാരാളം പൂവിടുന്നതിനും കായ്ക്കുന്നതിനും പ്രോത്സാഹിപ്പിക്കുന്നതിന് പൂവിടുന്നതിനുമുമ്പ് ജലസേചനവും പോഷകാഹാരവും നിയന്ത്രിക്കുക.,"మామిడి సాధారణంగా శీతాకాలం చివరి నుండి వసంతకాలం ప్రారంభంలో రకం మరియు వాతావరణాన్ని బట్టి పుష్పిస్తుంది. పుష్పించే ముందు నీరు త్రాగుట మరియు పోషణను నిర్వహించండి, తద్వారా అధికంగా పుష్పించే మరియు పండ్లు ఏర్పడతాయి."
"mango pests,mango anthracnose,mango fruit fly","Mango fruit fly and anthracnose cause major losses. Use sanitation, fruit bagging where possible, and apply recommended fungicides and baiting for fruit fly control.",மாம்பழ பிளை மற்றும் ஆன்ட்ரக்னோஸ் பிரச்சினைகள் மிக பெரியது. சுத்தம் மற்றும் பழ பைகளைப் பயன்படுத்தவும்.,आम में फलों के कीड़े और एंन्थ्रैकनोस समस्या है। स्वच्छता और बैगिंग से बचाव करें।,"ಮಾವಿನ ಹಣ್ಣಿನ ನೊಣ ಮತ್ತು ಆಂಥ್ರಾಕ್ನೋಸ್ ಪ್ರಮುಖ ನಷ್ಟವನ್ನುಂಟುಮಾಡುತ್ತವೆ. ನೈರ್ಮಲ್ಯವನ್ನು ಬಳಸಿ, ಸಾಧ್ಯವಾದಲ್ಲೆಲ್ಲಾ ಹಣ್ಣುಗಳನ್ನು ಚೀಲಗಳಲ್ಲಿ ಸುತ್ತಿ, ಮತ್ತು ಹಣ್ಣಿನ ನೊಣ ನಿಯಂತ್ರಣಕ್ಕಾಗಿ ಶಿಫಾರಸು ಮಾಡಿದ ಶಿಲೀಂಧ್ರನಾಶಕಗಳು ಮತ್ತು ಬೈಟಿಂಗ್ ಅನ್ನು ಬಳಸಿ.","മാമ്പഴ പഴ ഈച്ചയും ആന്ത്രാക്നോസും വലിയ നഷ്ടത്തിന് കാരണമാകുന്നു. പഴ ഈച്ച നിയന്ത്രണത്തിനായി ശുചിത്വം പാലിക്കുക, സാധ്യമാകുന്നിടത്തെല്ലാം പഴങ്ങൾ പൊതികളിൽ സൂക്ഷിക്കുക, ശുപാർശ ചെയ്യുന്ന കുമിൾനാശിനികൾ പ്രയോഗിക്കുക, ചൂണ്ടയിടുക എന്നിവ ചെയ്യുക.","మామిడి పండ్ల ఈగ మరియు ఆంత్రాక్నోస్ వల్ల తీవ్రమైన నష్టాలు సంభవిస్తాయి. పారిశుధ్యం, సాధ్యమైన చోట పండ్లను సంచిలో చుట్టడం మరియు పండ్ల ఈగ నియంత్రణ కోసం సిఫార్సు చేసిన శిలీంద్రనాశకాలు మరియు ఎరను వాడండి."
"banana planting,when to plant banana,banana propagation","Plant banana suckers of appropriate age (12–18 months). Ensure deep fertile soil, regular irrigation and mulching; remove diseased suckers to prevent spread.","வாழைக்கு 12–18 மாத வயதுடைய சக்கரங்களை நடு. ஆழமான, உரமான மண் மற்றும் மழை நீர் தேவையாய் இருக்க வேண்டும்.",केले को 12–18 महीने उम्र के सुकरों से लगाएँ; गहरी उपजाऊ मिट्टी और नियमित सिंचाई अनिवार्य है।,"ಸೂಕ್ತ ವಯಸ್ಸಿನ (12–18 ತಿಂಗಳುಗಳು) ಬಾಳೆ ಹಣ್ಣನ್ನು ನೆಡಿ. ಆಳವಾದ ಫಲವತ್ತಾದ ಮಣ್ಣು, ನಿಯಮಿತ ನೀರಾವರಿ ಮತ್ತು ಹಸಿಗೊಬ್ಬರ ಹಾಕುವುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ; ಹರಡುವುದನ್ನು ತಡೆಗಟ್ಟಲು ರೋಗಪೀಡಿತ ಹಣ್ಣನ್ನು ತೆಗೆದುಹಾಕಿ.","ഉചിതമായ പ്രായത്തിലുള്ള (12–18 മാസം) വാഴക്കുലകൾ നടുക. ആഴത്തിലുള്ള ഫലഭൂയിഷ്ഠമായ മണ്ണ്, പതിവായി ജലസേചനം, പുതയിടൽ എന്നിവ ഉറപ്പാക്കുക; പടരുന്നത് തടയാൻ രോഗബാധിതമായ കന്നുകൾ നീക്കം ചെയ്യുക.","తగిన వయస్సు గల (12–18 నెలలు) అరటి రసం పీల్చే మొక్కలను నాటండి. లోతైన సారవంతమైన నేల, క్రమం తప్పకుండా నీరు త్రాగుట మరియు కప్పడం నిర్ధారించుకోండి; వ్యాప్తి చెందకుండా ఉండటానికి వ్యాధిగ్రస్తుడైన రసం పీల్చే మొక్కలను తొలగించండి."
"banana pests,banana bunchy top,banana nematode","Banana nematodes and bunchy top virus reduce yields. Use clean planting material, nematicides where recommended, and maintain field sanitation.",வாழையில் நெமாட் மற்றும் பச்சை முக நோய் விளைச்சலை குறைக்கும். தூய விதைகள் பயன்படுத்தவும்.,केले में नीमैटोड़ और बन्ची टॉप वायरस नुकसान पहुंचाते हैं। साफ सामग्री और मैदान की सफाई रखें।,"ಬಾಳೆ ನೆಮಟೋಡ್‌ಗಳು ಮತ್ತು ಬಂಚಿ ಟಾಪ್ ವೈರಸ್ ಇಳುವರಿಯನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ. ಶುದ್ಧವಾದ ನೆಟ್ಟ ವಸ್ತುಗಳನ್ನು ಬಳಸಿ, ಶಿಫಾರಸು ಮಾಡಿದ ನೆಮಟಿನಾಶಕಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಹೊಲದ ನೈರ್ಮಲ್ಯವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ.","വാഴ നിമാവിരകളും ബഞ്ചി ടോപ്പ് വൈറസും വിളവ് കുറയ്ക്കുന്നു. വൃത്തിയുള്ള നടീൽ വസ്തുക്കൾ ഉപയോഗിക്കുക, ശുപാർശ ചെയ്യുന്നിടത്ത് നിമാവിരനാശിനികൾ ഉപയോഗിക്കുക, കൃഷിയിടത്തിലെ ശുചിത്വം പാലിക്കുക.","అరటి నెమటోడ్లు మరియు బంచీ టాప్ వైరస్ దిగుబడిని తగ్గిస్తాయి. శుభ్రమైన నాటడం సామగ్రిని, సిఫార్సు చేసిన చోట నెమటిసైడ్లను వాడండి మరియు పొలంలో పరిశుభ్రతను పాటించండి."
"guava care,guava pruning,guava pests",Guava requires light pruning to shape trees and improve air flow; use balanced fertilizers and control fruit flies with timely harvest and sanitation.,"கோவா மரங்களுக்கு இலகு வெட்டுதல், சரியான உரம் வழங்குதல் மற்றும் பழப்பறிப்பு மற்றும் சுத்தம் மூலம் பழ பறவை கட்டுப்பாடு செய்யவும்.",अमरूद को आकार देने के लिए हल्की छंटाई करें; संतुलित उर्वरक दें और फल मक्खी नियंत्रण रखें।,ಮರಗಳನ್ನು ರೂಪಿಸಲು ಮತ್ತು ಗಾಳಿಯ ಹರಿವನ್ನು ಸುಧಾರಿಸಲು ಪೇರಲಕ್ಕೆ ಲಘು ಸಮರುವಿಕೆ ಅಗತ್ಯವಿದೆ; ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಸಕಾಲಿಕ ಕೊಯ್ಲು ಮತ್ತು ನೈರ್ಮಲ್ಯದೊಂದಿಗೆ ಹಣ್ಣಿನ ನೊಣಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ.,"മരങ്ങൾക്ക് രൂപം നൽകുന്നതിനും വായുസഞ്ചാരം മെച്ചപ്പെടുത്തുന്നതിനും പേരയ്ക്കയ്ക്ക് നേരിയ അരിവാൾ ആവശ്യമാണ്; സമീകൃത വളങ്ങൾ ഉപയോഗിക്കുക, സമയബന്ധിതമായ വിളവെടുപ്പും ശുചിത്വവും ഉപയോഗിച്ച് പഴ ഈച്ചകളെ നിയന്ത്രിക്കുക.",చెట్లను ఆకృతి చేయడానికి మరియు గాలి ప్రవాహాన్ని మెరుగుపరచడానికి జామకు తేలికపాటి కత్తిరింపు అవసరం; సమతుల్య ఎరువులను వాడండి మరియు సకాలంలో పంట కోత మరియు పారిశుధ్యంతో పండ్ల ఈగలను నియంత్రించండి.
